    PID TTY      STAT   TIME COMMAND
   5418 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --entrypoint /usr/bin/ceph-mgr --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-mgr-dev-server-jxbuda --pids-limit=0 -e CONTAINER_IMAGE=quay.io/ceph/ceph:v18 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -e TCMALLOC_MAX_TOTAL_THREAD_CACHE_BYTES=134217728 -v /var/run/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/run/ceph:z -v /var/log/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/log/ceph:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash:/var/lib/ceph/crash:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mgr.dev-server.jxbuda:/var/lib/ceph/mgr/ceph-dev-server.jxbuda:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mgr.dev-server.jxbuda/config:/etc/ceph/ceph.conf:z quay.io/ceph/ceph:v18 -n mgr.dev-server.jxbuda -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug 
   5419 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --entrypoint /usr/bin/ceph-crash --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-crash-dev-server --pids-limit=0 -e CONTAINER_IMAGE=quay.io/ceph/ceph@sha256:6ac7f923aa1d23b43248ce0ddec7e1388855ee3d00813b52c3172b0b23b37906 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -e TCMALLOC_MAX_TOTAL_THREAD_CACHE_BYTES=134217728 -v /var/run/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/run/ceph:z -v /var/log/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/log/ceph:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash:/var/lib/ceph/crash:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash.dev-server/config:/etc/ceph/ceph.conf:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash.dev-server/keyring:/etc/ceph/ceph.client.crash.dev-server.keyring quay.io/ceph/ceph@sha256:6ac7f923aa1d23b43248ce0ddec7e1388855ee3d00813b52c3172b0b23b37906 -n client.crash.dev-server
   5420 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --entrypoint /usr/bin/ceph-mon --privileged --group-add=disk --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-mon-dev-server --pids-limit=0 -e CONTAINER_IMAGE=quay.io/ceph/ceph:v18 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -e TCMALLOC_MAX_TOTAL_THREAD_CACHE_BYTES=134217728 -v /var/run/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/run/ceph:z -v /var/log/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/log/ceph:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash:/var/lib/ceph/crash:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mon.dev-server:/var/lib/ceph/mon/ceph-dev-server:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/mon.dev-server/config:/etc/ceph/ceph.conf:z -v /dev:/dev -v /run/udev:/run/udev quay.io/ceph/ceph:v18 -n mon.dev-server -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug  --default-mon-cluster-log-to-file=false --default-mon-cluster-log-to-stderr=true
   5421 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-prometheus-dev-server --user 65534 -e CONTAINER_IMAGE=quay.io/prometheus/prometheus:v2.43.0 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/prometheus.dev-server/etc/prometheus:/etc/prometheus:Z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/prometheus.dev-server/data:/prometheus:Z quay.io/prometheus/prometheus:v2.43.0 --config.file=/etc/prometheus/prometheus.yml --storage.tsdb.path=/prometheus --storage.tsdb.retention.time=15d --storage.tsdb.retention.size=0 --web.external-url=http://127.0.1.1:9095 --web.listen-address=:9095
   5422 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --entrypoint /usr/bin/ceph-exporter --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-ceph-exporter-dev-server --pids-limit=0 -e CONTAINER_IMAGE=quay.io/ceph/ceph@sha256:6ac7f923aa1d23b43248ce0ddec7e1388855ee3d00813b52c3172b0b23b37906 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -e TCMALLOC_MAX_TOTAL_THREAD_CACHE_BYTES=134217728 -v /var/run/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/run/ceph:z -v /var/log/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36:/var/log/ceph:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/crash:/var/lib/ceph/crash:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/ceph-exporter.dev-server:/var/lib/ceph/ceph-exporter/ceph-dev-server:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/ceph-exporter.dev-server/config:/etc/ceph/ceph.conf:z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/ceph-exporter.dev-server/keyring:/etc/ceph/ceph.client.ceph-exporter.dev-server.keyring quay.io/ceph/ceph@sha256:6ac7f923aa1d23b43248ce0ddec7e1388855ee3d00813b52c3172b0b23b37906 -n client.ceph-exporter.dev-server -f --sock-dir=/var/run/ceph/ --addrs=0.0.0.0 --port=9926 --prio-limit=5 --stats-period=5
   5423 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-grafana-dev-server --user 998 -e CONTAINER_IMAGE=quay.io/ceph/ceph-grafana:9.4.7 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/grafana.dev-server/etc/grafana/grafana.ini:/etc/grafana/grafana.ini:Z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/grafana.dev-server/etc/grafana/provisioning/datasources:/etc/grafana/provisioning/datasources:Z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/grafana.dev-server/etc/grafana/certs:/etc/grafana/certs:Z -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/grafana.dev-server/data/grafana.db:/var/lib/grafana/grafana.db:Z quay.io/ceph/ceph-grafana:9.4.7
   5424 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-alertmanager-dev-server --user 65534 -e CONTAINER_IMAGE=quay.io/prometheus/alertmanager:v0.25.0 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/alertmanager.dev-server/etc/alertmanager:/etc/alertmanager:Z quay.io/prometheus/alertmanager:v0.25.0 --cluster.listen-address=:9094 --web.listen-address=:9093 --config.file=/etc/alertmanager/alertmanager.yml
   5425 ?        Sl     0:00 /usr/bin/docker run --rm --ipc=host --stop-signal=SIGTERM --ulimit nofile=1048576 --net=host --init --name ceph-c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36-node-exporter-dev-server --user 65534 --security-opt label=disable -e CONTAINER_IMAGE=quay.io/prometheus/node-exporter:v1.5.0 -e NODE_NAME=dev-server -e CEPH_USE_RANDOM_NONCE=1 -v /var/lib/ceph/c4d7eeb6-ca39-11ef-b0da-9d84e8d2bd36/node-exporter.dev-server/etc/node-exporter:/etc/node-exporter:Z -v /proc:/host/proc:ro -v /sys:/host/sys:ro -v /:/rootfs:ro quay.io/prometheus/node-exporter:v1.5.0 --no-collector.timex --web.listen-address=:9100 --path.procfs=/host/proc --path.sysfs=/host/sys --path.rootfs=/rootfs
   5521 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6f28351b138bc62123a93ebaa0708081420a54cf706bc61641f4d359abdedafc -address /run/containerd/containerd.sock
   5549 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 191ded77176d4c4e081029e4e9d00ae896471f1ab9f6e0f9622f18b4ba6584ce -address /run/containerd/containerd.sock
   5577 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id c73b5765be7e74bd2fcb2317c967d578825d3d2075f9765089c190078ab2a505 -address /run/containerd/containerd.sock
   5588 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d13eb3366d2787c50fae009f1cb718083beb68e11314c36ce2591ea089780625 -address /run/containerd/containerd.sock
   5612 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 7bf55d6fc336b27de6d80721b31af8c2db2ae6ee228224264f9f8660ce286031 -address /run/containerd/containerd.sock
   5645 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id e0738c45ad09bea28ddceeec7583ad5c6d6a646d5c53d226e4104af709b2727f -address /run/containerd/containerd.sock
   5664 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 77d3fd55ecb2adbbb63b34a5ddfce7f29d2f63853fddd8b25574049aa61e03c1 -address /run/containerd/containerd.sock
   5681 ?        Ss     0:00 /sbin/docker-init -- /bin/sh -c grafana-server --config=/etc/grafana/grafana.ini /bin/bash
   5686 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id b5b9cead6c4ba29cac903661322e01c3c53fe001f6f11f8eee1b38c33cff4670 -address /run/containerd/containerd.sock
   5687 ?        Ss     0:00 /sbin/docker-init -- /bin/alertmanager --cluster.listen-address=:9094 --web.listen-address=:9093 --config.file=/etc/alertmanager/alertmanager.yml
   5716 ?        Ss     0:00 /sbin/docker-init -- /usr/bin/ceph-mgr -n mgr.dev-server.jxbuda -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug 
   5721 ?        Ss     0:00 /sbin/docker-init -- /usr/bin/ceph-exporter -n client.ceph-exporter.dev-server -f --sock-dir=/var/run/ceph/ --addrs=0.0.0.0 --port=9926 --prio-limit=5 --stats-period=5
   5749 ?        Ss     0:00 /sbin/docker-init -- /bin/node_exporter --no-collector.timex --web.listen-address=:9100 --path.procfs=/host/proc --path.sysfs=/host/sys --path.rootfs=/rootfs
   5768 ?        Ss     0:00 /sbin/docker-init -- /usr/bin/ceph-mon -n mon.dev-server -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug  --default-mon-cluster-log-to-file=false --default-mon-cluster-log-to-stderr=true
   5777 ?        Ss     0:00 /sbin/docker-init -- /bin/prometheus --config.file=/etc/prometheus/prometheus.yml --storage.tsdb.path=/prometheus --storage.tsdb.retention.time=15d --storage.tsdb.retention.size=0 --web.external-url=http://127.0.1.1:9095 --web.listen-address=:9095
   5785 ?        Ss     0:00 /sbin/docker-init -- /usr/bin/ceph-crash -n client.crash.dev-server
   5803 ?        Sl     0:06 /usr/bin/ceph-mon -n mon.dev-server -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug  --default-mon-cluster-log-to-file=false --default-mon-cluster-log-to-stderr=true
   5814 ?        Sl     0:01 /bin/alertmanager --cluster.listen-address=:9094 --web.listen-address=:9093 --config.file=/etc/alertmanager/alertmanager.yml
   5817 ?        S      0:00 bash /usr/sbin/grafana-server --config=/etc/grafana/grafana.ini
   5845 ?        Sl     0:10 /usr/bin/ceph-mgr -n mgr.dev-server.jxbuda -f --setuser ceph --setgroup ceph --default-log-to-file=false --default-log-to-stderr=true --default-log-stderr-prefix=debug 
   5846 ?        Sl     0:04 /bin/node_exporter --no-collector.timex --web.listen-address=:9100 --path.procfs=/host/proc --path.sysfs=/host/sys --path.rootfs=/rootfs
   5847 ?        Sl     0:00 /usr/bin/ceph-exporter -n client.ceph-exporter.dev-server -f --sock-dir=/var/run/ceph/ --addrs=0.0.0.0 --port=9926 --prio-limit=5 --stats-period=5
   5849 ?        Sl     0:04 /bin/prometheus --config.file=/etc/prometheus/prometheus.yml --storage.tsdb.path=/prometheus --storage.tsdb.retention.time=15d --storage.tsdb.retention.size=0 --web.external-url=http://127.0.1.1:9095 --web.listen-address=:9095
   5855 ?        S      0:00 /usr/bin/python3 -s /usr/bin/ceph-crash -n client.crash.dev-server
   5863 ?        Sl     0:11 /usr/share/grafana/bin/grafana server --config=/etc/grafana/grafana.ini
   6182 ?        Ss     0:00 sshd: root@notty
   6269 ?        I      0:00 [kworker/13:2-events]
   6289 ?        I      0:00 [kworker/9:3-mm_percpu_wq]
   6295 ?        I      0:00 [kworker/31:2-cgroup_destroy]
   6300 ?        Ss     0:00 sshd: leonematt [priv]
   6311 ?        Ss     0:00 /usr/sbin/cron -f -P
   6315 ?        Ssl    0:00 /usr/sbin/libvirtd
   6322 ?        Ss     0:00 /usr/sbin/kerneloops --test
   6332 ?        Ss     0:00 /usr/bin/netserver
   6333 ?        Ss     0:00 /usr/sbin/kerneloops
   6349 ?        Ss     0:00 /lib/systemd/systemd --user
   6350 ?        S      0:00 (sd-pam)
   6377 ?        Ssl    0:00 /usr/sbin/gdm3
   6392 ?        Ss     0:00 /lib/systemd/systemd --user
   6393 ?        S      0:00 (sd-pam)
   6402 ?        Ss     0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   6449 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   6467 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   6489 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   6505 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/0/doc
   6522 ?        S<sl   0:00 /usr/bin/pipewire
   6523 ?        Ssl    0:00 /usr/bin/pipewire-media-session
   6524 ?        S<sl   0:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   6535 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   6544 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   6563 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   6567 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   6574 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/128/doc
   6627 ?        Sl     0:00 gdm-session-worker [pam/gdm-launch-environment]
   6638 tty1     Ssl+   0:00 /usr/libexec/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   6640 tty1     Sl+    0:00 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/128/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   6687 tty1     S+     0:00 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   6688 tty1     S+     0:00 dbus-daemon --nofork --print-address 4 --session
   6689 tty1     Sl+    0:00 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
   6702 tty1     Sl+    0:00 /usr/libexec/at-spi-bus-launcher
   6708 tty1     S+     0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/128/at-spi/bus_0
   6732 ?        I<     0:00 [kworker/u133:2-ttm]
   6739 tty1     Sl+    0:00 /usr/bin/gnome-shell
   6771 ?        I      0:00 [kworker/0:2]
   6776 tty1     Sl+    0:00 /usr/libexec/xdg-permission-store
   6783 ?        Ssl    0:00 /usr/libexec/upowerd
   6786 ?        Ssl    0:00 /usr/libexec/packagekitd
   6790 tty1     Sl+    0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   6792 tty1     Sl+    0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   6813 tty1     Sl+    0:00 /usr/libexec/gsd-sharing
   6815 tty1     Sl+    0:00 /usr/libexec/gsd-wacom
   6816 tty1     Sl     0:00 ibus-daemon --panel disable --xim
   6817 tty1     Sl+    0:00 /usr/libexec/gsd-color
   6821 tty1     Sl+    0:00 /usr/libexec/gsd-keyboard
   6823 tty1     Sl+    0:00 /usr/libexec/gsd-print-notifications
   6824 tty1     Sl+    0:00 /usr/libexec/gsd-rfkill
   6826 tty1     Sl+    0:00 /usr/libexec/gsd-smartcard
   6831 tty1     Sl+    0:00 /usr/libexec/gsd-datetime
   6834 tty1     Sl+    0:00 /usr/libexec/gsd-media-keys
   6838 tty1     Sl+    0:00 /usr/libexec/gsd-screensaver-proxy
   6840 tty1     Sl+    0:00 /usr/libexec/gvfsd
   6844 tty1     Sl+    0:00 /usr/libexec/gsd-sound
   6850 tty1     Sl+    0:00 /usr/libexec/gsd-a11y-settings
   6854 tty1     Sl+    0:00 /usr/libexec/gsd-housekeeping
   6861 tty1     Sl+    0:00 /usr/libexec/gsd-power
   6865 tty1     Sl     0:00 /usr/libexec/ibus-memconf
   6889 tty1     Sl+    0:00 /usr/libexec/ibus-portal
   6906 tty1     Sl+    0:00 /usr/libexec/gsd-printer
   6919 ?        Ssl    0:00 /usr/libexec/colord
   6936 tty1     Sl+    0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   6956 tty1     Sl     0:00 /usr/libexec/ibus-engine-simple
   6992 ?        Sl     0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   6998 ?        Ss     0:00 /lib/systemd/systemd --user
   6999 ?        S      0:00 (sd-pam)
   7005 ?        Ssl    0:00 /usr/bin/pipewire
   7006 ?        Ssl    0:00 /usr/bin/pipewire-media-session
   7007 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   7008 ?        Ss     0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   7060 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   7067 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   7068 ?        S      0:01 sshd: leonematt@notty
   7071 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   7077 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   7104 ?        Ss     0:00 sh
   7137 ?        Sl     0:01 /home/leonematt/.vscode-server/code-91fbdddc47bc9c09064bf7acf133d22631cbf083 command-shell --cli-data-dir /home/leonematt/.vscode-server/cli --parent-process-id 7104 --on-host=127.0.0.1 --on-port
   7180 ?        Sl     0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
   7182 ?        S<     0:00 [krfcommd]
   7206 ?        S      0:00 sh /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/bin/code-server --connection-token=remotessh --accept-server-license-terms --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-44bd39ed-ce1d-442b-886f-dabcf055b0e4
   7210 ?        Sl     0:02 /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/node /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/server-main.js --connection-token=remotessh --accept-server-license-terms --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-44bd39ed-ce1d-442b-886f-dabcf055b0e4
   7250 ?        Sl     0:07 /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/node --dns-result-order=ipv4first /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
   7262 ?        Sl     0:02 /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/node /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/bootstrap-fork --type=fileWatcher
   7275 ?        Sl     0:01 /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/node /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/bootstrap-fork --type=ptyHost --logsPath /home/leonematt/.vscode-server/data/logs/20250116T091442
   7342 ?        Ss     0:00 sshd: leonematt [priv]
   7343 ?        Ss     0:00 sshd: leonematt [priv]
   7413 ?        S      0:00 sshd: leonematt@pts/6
   7416 ?        S      0:02 sshd: leonematt@pts/5
   7417 pts/6    Ss     0:00 -bash
   7418 pts/5    Ss+    0:00 -bash
   7447 pts/7    Ss+    0:00 /bin/bash --init-file /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
   7462 ?        Sl     0:29 /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/node /home/leonematt/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist/server.bundle.js --cancellationReceive=file:b3323f53622d23c4ed4cdb20c7f64f1ec569ab08e9 --node-ipc --clientProcessId=7250
   8017 pts/0    Ss+    0:00 /bin/bash --init-file /home/leonematt/.vscode-server/cli/servers/Stable-91fbdddc47bc9c09064bf7acf133d22631cbf083/server/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
   8576 ?        I      0:00 [kworker/u130:8-events_power_efficient]
   9368 ?        I      0:00 [kworker/6:0]
  10403 ?        I      0:00 [kworker/u130:9-events_unbound]
  10611 ?        I      0:00 [kworker/25:1-cgroup_destroy]
  10714 ?        I      0:00 [kworker/u129:1-flush-259:6]
  10715 ?        I      0:00 [kworker/u129:3-flush-259:6]
  11220 ?        I      0:00 [kworker/2:2-events]
  11283 ?        I      0:00 [kworker/u130:3-flush-259:6]
  11360 ?        I      0:00 [kworker/u128:1-mlx5_cmd_0000:01:00.1]
  11508 ?        I      0:00 [kworker/9:0-events]
  11621 ?        I      0:00 [kworker/u129:5-flush-259:6]
  11851 ?        I      0:00 [kworker/u129:6-flush-259:6]
  12544 ?        I      0:00 [kworker/u130:0-flush-259:6]
  12604 ?        I      0:00 [kworker/24:2]
  12672 ?        I      0:00 [kworker/u130:1-flush-259:6]
  12734 ?        I      0:00 [kworker/30:2]
  12836 ?        I      0:00 [kworker/u130:4-flush-259:6]
  13021 ?        Ssl    0:14 qemu-system-x86_64 -nographic -monitor unix:/tmp/a6fc4bb7-d559-46a6-af70-1229d55af54f.sock,server,nowait -serial pty -readconfig /IGS/compute/vms/a6fc4bb7-d559-46a6-af70-1229d55af54f/a6fc4bb7-d559-46a6-af70-1229d55af54f.conf -net nic -net user
  13024 ?        S      0:00 [kvm-nx-lpage-recovery-13021]
  13027 ?        S      0:00 [kvm-pit/13021]
  13055 ?        I      0:00 [kworker/u130:6-events_power_efficient]
  13116 ?        I      0:00 [kworker/u129:0]
  13117 ?        I      0:00 [kworker/25:0-mm_percpu_wq]
  13132 ?        S      0:00 sleep 180
  13261 ?        I      0:00 [kworker/22:2]
  13273 pts/6    R+     0:00 ps ax
